SampleID,Year.Trawl#,Datecode,Date,Month,Year,Bayside,Station,Habitat,DO,Salinity,Temperature
T3S4,2020.T3,20200805,8/5/20,8,2020,WEST,WEST TIANA,MUD,6.89,31.7,23.7
T3S5,2020.T3,20200805,8/5/20,8,2020,EAST,PONQUOGUE BRIDGE,SAND,7.17,31.1,23.2
T3S6,2020.T3,20200805,8/5/20,8,2020,EAST,INLET,SAND,7.01,31.9,22.6
T3S7,2020.T3,20200805,8/5/20,8,2020,EAST,CORMORANT POINT,SEAGRASS,7.5,31.2,24.1
T3S8,2020.T3,20200805,8/5/20,8,2020,EAST,SHINNECOCK HILLS,SEAGRASS,7.3,29.8,27.2
T3S9,2020.T3,20200805,8/5/20,8,2020,EAST,EAST MID BAY,MUD,6.64,30.8,25.4
T3S10,2020.T3,20200805,8/5/20,8,2020,EAST,SOUTH GRASS,SEAGRASS,7.2,31,25.3
T3S11,2020.T3,20200805,8/5/20,8,2020,EAST,LITTLE POND,SEAGRASS,8.4,30,26
T4S1,2020.T4,20200819,8/19/20,8,2020,WEST,PINE NECK,SEAGRASS,6.15,33.2,22.8
T4S2,2020.T4,20200819,8/19/20,8,2020,WEST,WEST MID BAY,SEAGRASS,5.8,32.6,23.3
T4S3,2020.T4,20200819,8/19/20,8,2020,WEST,DUNE ROAD,MUD,4.4,31.7,24
T4S4,2020.T4,20200819,8/19/20,8,2020,WEST,WEST TIANA,SEAGRASS,6.13,33.3,22.8
T4S5,2020.T4,20200819,8/19/20,8,2020,EAST,PONQUOGUE BRIDGE,SAND,6.78,32.7,22.9
T4S6,2020.T4,20200819,8/19/20,8,2020,EAST,INLET,MUD,6.2,32.6,23.2
T4S7,2020.T4,20200819,8/19/20,8,2020,EAST,CORMORANT POINT,MUD,7.16,31.5,24
T4S8,2020.T4,20200819,8/19/20,8,2020,EAST,SHINNECOCK HILLS,SAND,6.83,31.3,24.4
T4S9,2020.T4,20200819,8/19/20,8,2020,EAST,EAST MID BAY,SEAGRASS,7.22,32.1,23.7
T4S10,2020.T4,20200819,8/19/20,8,2020,EAST,SOUTH GRASS,SAND,5.85,33.5,22.5
T4S11,2020.T4,20200819,8/19/20,8,2020,EAST,LITTLE POND,SEAGRASS,5.88,31.9,24
T5S1,2020.T5,20200902,9/2/20,9,2020,WEST,PINE NECK,SAND,6.06,33.8,22
T5S2,2020.T5,20200902,9/2/20,9,2020,WEST,WEST MID BAY,MUD,6.56,33.9,22
T5S3,2020.T5,20200902,9/2/20,9,2020,WEST,DUNE ROAD,SEAGRASS,4.61,33.4,22.1
T5S4,2020.T5,20200902,9/2/20,9,2020,WEST,WEST TIANA,MUD,6.45,34,22
T5S5,2020.T5,20200902,9/2/20,9,2020,EAST,PONQUOGUE BRIDGE,SAND,6.6,33.8,22.1
T5S6,2020.T5,20200902,9/2/20,9,2020,EAST,INLET,SAND,6.79,33.8,22.2
T5S7,2020.T5,20200902,9/2/20,9,2020,EAST,CORMORANT POINT,SEAGRASS,6.87,33.2,22.2
T5S8,2020.T5,20200902,9/2/20,9,2020,EAST,SHINNECOCK HILLS,SEAGRASS,6.35,31.8,23.4
T5S9,2020.T5,20200902,9/2/20,9,2020,EAST,EAST MID BAY,MUD,6.72,32.8,22.7
T5S10,2020.T5,20200902,9/2/20,9,2020,EAST,SOUTH GRASS,SEAGRASS,6.84,33.3,22.5
T5S11,2020.T5,20200902,9/2/20,9,2020,EAST,LITTLE POND,SEAGRASS,7.05,32.4,23.1
